"Timestamp","Enter password to ensure data is saved.","Your name:","Do you read something and find you haven’t been thinking about it and must read it again?","Do you find you forget why you went from one part of the house to the other?","Do you fail to notice signposts on the road?","Do you find you confuse right and left when giving directions?","Do you bump into people?","Do you find you forget whether you’ve turned off a light or a fire or locked the door?","Do you fail to listen to people’s names when you are meeting them?","Do you say something and realize afterwards that it might be taken as insulting?","Do you fail to hear people speaking to you when you are doing something else?","Do you lose your temper and regret it?","Do you leave important letters unanswered for days?","Do you find you forget which way to turn on a road you know well but rarely use?","Do you fail to see what you want in a supermarket (although it’s there)?","Do you find yourself suddenly wondering whether you’ve used a word correctly?","Do you have trouble making up your mind?","Do you find you forget appointments?","Do you forget where you put something like a newspaper or a book?","Do you find you accidentally throw away the thing you want and keep what you meant to throw away – as in the example of throwing away the matchbox and putting the used match in your pocket?","Do you daydream when you ought to be listening to something?","Do you find you forget people’s names?","Do you start doing one thing at home and get distracted into doing something else (unintentionally)?","Do you find you can’t quite remember something although it’s “on the tip of your tongue”?","Do you find you forget what you came to the shops to buy?","Do you drop things?","Do you find you can’t think of anything to say?"
"2017/08/09 2:27:25 PM AST","142857","011","Occasionally","Occasionally","Quite often","Never","Never","Never","Very often","Very rarely","Very rarely","Very rarely","Never","Occasionally","Never","Quite often","Very rarely","Never","Never","Occasionally","Quite often","Very often","Quite often","Occasionally","Never","Never","Occasionally"
"2017/08/09 2:44:40 PM AST","142857","012","Very often","Very rarely","Very rarely","Very rarely","Never","Very rarely","Very often","Occasionally","Occasionally","Very rarely","Occasionally","Very rarely","Very rarely","Quite often","Quite often","Never","Never","Never","Very often","Quite often","Occasionally","Occasionally","Very rarely","Very rarely","Very often"
"2017/09/14 4:55:25 PM AST","142857","013","Occasionally","Very rarely","Occasionally","Very rarely","Never","Occasionally","Very rarely","Occasionally","Very rarely","Very rarely","Never","Very rarely","Very rarely","Never","Occasionally","Never","Very rarely","Never","Occasionally","Very rarely","Occasionally","Very rarely","Never","Never","Very rarely"
"2017/09/15 7:52:36 PM AST","142857","014","Very often","Quite often","Quite often","Quite often","Occasionally","Quite often","Quite often","Very often","Very often","Very rarely","Quite often","Quite often","Quite often","Quite often","Very often","Very rarely","Very rarely","Quite often","Very often","Very often","Very often","Very often","Quite often","Quite often","Very rarely"
"2017/09/28 3:25:28 PM AST","142857","015","Occasionally","Never","Never","Never","Very rarely","Never","Very rarely","Very rarely","Occasionally","Very rarely","Very rarely","Never","Very rarely","Occasionally","Occasionally","Very rarely","Quite often","Very rarely","Very often","Very rarely","Quite often","Quite often","Never","Occasionally","Very rarely"
"2017/10/13 2:08:19 PM AST","142857","016","Occasionally","Very rarely","Occasionally","Very rarely","Very rarely","Quite often","Very often","Very rarely","Quite often","Very rarely","Very rarely","Very rarely","Occasionally","Occasionally","Very rarely","Occasionally","Quite often","Occasionally","Occasionally","Quite often","Very often","Occasionally","Very rarely","Very rarely","Occasionally"
"2017/10/13 5:11:20 PM AST","142857","017","Very often","Very rarely","Very rarely","Never","Very rarely","Quite often","Occasionally","Quite often","Quite often","Quite often","Occasionally","Very rarely","Very rarely","Occasionally","Occasionally","Very rarely","Occasionally","Very rarely","Very often","Occasionally","Very often","Very rarely","Occasionally","Very rarely","Very rarely"
"2017/10/20 9:23:56 AM AST","142857","018","Occasionally","Very rarely","Very rarely","Never","Very rarely","Occasionally","Very rarely","Quite often","Occasionally","Very rarely","Occasionally","Very rarely","Occasionally","Occasionally","Very rarely","Occasionally","Quite often","Very rarely","Occasionally","Very rarely","Quite often","Occasionally","Never","Occasionally","Quite often"
"2017/10/20 1:59:33 PM AST","142857","019","Occasionally","Never","Never","Never","Never","Very rarely","Occasionally","Occasionally","Never","Never","Very rarely","Never","Very rarely","Occasionally","Very rarely","Never","Very rarely","Never","Very rarely","Very rarely","Very rarely","Occasionally","Never","Never","Never"
"2017/10/26 2:56:14 PM AST","142857","020","Quite often","Very often","Quite often","Occasionally","Occasionally","Quite often","Very often","Occasionally","Occasionally","Occasionally","Occasionally","Never","Quite often","Occasionally","Quite often","Occasionally","Quite often","Occasionally","Occasionally","Quite often","Very often","Very often","Quite often","Quite often","Very often"
"2017/10/27 2:26:17 PM AST","142857","021","Quite often","Quite often","Occasionally","Very rarely","Occasionally","Occasionally","Very often","Quite often","Quite often","Occasionally","Occasionally","Very rarely","Occasionally","Quite often","Very often","Occasionally","Quite often","Occasionally","Quite often","Very often","Quite often","Quite often","Occasionally","Very rarely","Quite often"
"2017/11/02 1:26:33 PM AST","142857","022","Occasionally","Occasionally","Occasionally","Very rarely","Very rarely","Quite often","Very rarely","Occasionally","Occasionally","Occasionally","Very often","Very rarely","Occasionally","Very rarely","Quite often","Occasionally","Quite often","Occasionally","Occasionally","Very rarely","Occasionally","Occasionally","Occasionally","Occasionally","Very rarely"
"2017/11/09 2:18:42 PM AST","142857","023","Very often","Occasionally","Never","Never","Never","Never","Never","Very rarely","Never","Very rarely","Very rarely","Never","Never","Very rarely","Very rarely","Never","Never","Never","Very rarely","Never","Very rarely","Never","Never","Never","Never"
"2017/11/10 10:23:35 AM AST","142857","024","Occasionally","Very rarely","Very rarely","Never","Very rarely","Occasionally","Occasionally","Very rarely","Never","Very rarely","Never","Very rarely","Never","Occasionally","Quite often","Never","Very rarely","Never","Very rarely","Occasionally","Occasionally","Occasionally","Very rarely","Never","Occasionally"
"2017/11/10 2:24:50 PM AST","142857","025","Quite often","Quite often","Occasionally","Occasionally","Quite often","Occasionally","Quite often","Occasionally","Quite often","Very rarely","Quite often","Very rarely","Very rarely","Quite often","Very often","Very rarely","Occasionally","Occasionally","Quite often","Quite often","Quite often","Occasionally","Very rarely","Very rarely","Occasionally"
"2017/11/13 11:54:32 AM AST","142857","026","Quite often","Occasionally","Very rarely","Never","Very rarely","Never","Very rarely","Occasionally","Occasionally","Never","Very rarely","Very rarely","Very rarely","Very rarely","Quite often","Very rarely","Very rarely","Never","Occasionally","Occasionally","Very rarely","Very rarely","Very rarely","Very rarely","Occasionally"
"2017/11/13 12:25:36 PM AST","142857","027","Occasionally","Occasionally","Occasionally","Never","Never","Very rarely","Quite often","Very rarely","Occasionally","Very rarely","Very rarely","Very rarely","Occasionally","Occasionally","Quite often","Very rarely","Occasionally","Very rarely","Very rarely","Quite often","Very rarely","Occasionally","Very rarely","Very rarely","Very rarely"
"2017/11/13 4:18:58 PM AST","142857","028","Occasionally","Occasionally","Occasionally","Never","Very rarely","Occasionally","Quite often","Quite often","Quite often","Very rarely","Occasionally","Very rarely","Occasionally","Occasionally","Occasionally","Quite often","Very rarely","Occasionally","Quite often","Occasionally","Quite often","Occasionally","Occasionally","Very rarely","Very rarely"
"2017/11/27 3:29:54 PM AST","142857","029","Occasionally","Very rarely","Never","Very rarely","Very rarely","Never","Very rarely","Very rarely","Occasionally","Never","Very rarely","Never","Never","Occasionally","Very rarely","Very rarely","Quite often","Very rarely","Quite often","Quite often","Very often","Quite often","Very rarely","Never","Occasionally"
"2017/11/29 3:38:18 PM AST","142857","030","Occasionally","Occasionally","Very rarely","Never","Very often","Quite often","Occasionally","Very often","Occasionally","Occasionally","Quite often","Never","Never","Very rarely","Occasionally","Occasionally","Very rarely","Never","Quite often","Very often","Quite often","Quite often","Never","Occasionally","Occasionally"
